date,county,fips,re_mean,re_CI95l,re_CI95u,cummort_mean,cummort_CI95l,cummort_CI95u
2020-08-04,Orange County,6059,0.644253514777537,0.36320045694946,0.8253560486368023,835.2811682493759,815.7710542282391,878.0592515379053
2020-08-05,Orange County,6059,0.6438339260267687,0.3629370611749567,0.8243840681329896,848.8291299538537,823.8432756534844,903.2287843189102
2020-08-06,Orange County,6059,0.6434143372760004,0.3626736654004535,0.823412087629177,862.3770916583314,831.9154970787298,928.3983170999153
2020-08-07,Orange County,6059,0.6429947485252321,0.3624102696259502,0.8224401071253642,875.9250533628092,839.9877185039751,953.5678498809202
2020-08-08,Orange County,6059,0.6425033575567985,0.3621762000704502,0.8216252994725614,888.203094248798,847.8815158167389,974.7145037654461
2020-08-09,Orange County,6059,0.55618430948167,0.2558242684695518,0.7889962648659772,909.3998937747156,892.4866954234035,943.7099242442123
2020-08-10,Orange County,6059,0.5558708154192744,0.25579527534118585,0.7882886563256705,922.5991403266509,901.3302356898117,965.9833359269961
2020-08-11,Orange County,6059,0.555557321356879,0.2557662822128199,0.7875810477853636,935.7983868785863,910.1737759562199,988.2567476097801
2020-08-12,Orange County,6059,0.5552438272944834,0.2557372890844539,0.7868734392450569,948.9976334305215,919.0173162226281,1010.5301592925639
2020-08-13,Orange County,6059,0.5549643109067867,0.2556902394014573,0.7863143327704681,961.0409542856435,927.5508939244692,1030.6214430713922
2020-08-14,Orange County,6059,0.619743530221585,0.4050376395480234,0.7926215554616998,997.8840741716705,982.4440896752259,1027.8745963207816
2020-08-15,Orange County,6059,0.6194600280354977,0.40490795745620584,0.791912257538831,1010.3622088951041,991.3891445735071,1048.2569984694267
2020-08-16,Orange County,6059,0.6191765258494105,0.40477827536438826,0.7912029596159623,1022.8403436185379,1000.3341994717885,1068.6394006180715
2020-08-17,Orange County,6059,0.6188930236633232,0.4046485932725707,0.7904936616930935,1035.3184783419715,1009.2792543700697,1089.0218027667165
2020-08-18,Orange County,6059,0.6186160915393243,0.40453595486734345,0.790013487564721,1046.43321247447,1017.7675811692997,1106.419579796891
2020-08-19,Orange County,6059,0.7590833355665341,0.5627734465746433,0.9402565169440276,1079.8757656751313,1067.7465778935286,1105.2581559015741
2020-08-20,Orange County,6059,0.7585432129585473,0.5626588969312714,0.9397958012383659,1090.9962248173176,1075.8902299710533,1123.0625056567428
2020-08-21,Orange County,6059,0.7580030903505607,0.5625443472878994,0.9393350855327042,1102.1166839595041,1084.0338820485779,1140.8668554119117
2020-08-22,Orange County,6059,0.7574629677425739,0.5624297976445274,0.9388743698270425,1113.2371431016904,1092.1775341261025,1158.6712051670804
2020-08-23,Orange County,6059,0.7569835572384656,0.562090693021065,0.9378733193748162,1123.3286077901025,1100.110105354556,1174.789428052028
2020-08-24,Orange County,6059,0.7565041467343571,0.5617515883976024,0.9368722689225898,1133.4200724785144,1108.0426765830098,1190.9076509369752
2020-08-25,Orange County,6059,0.7560247362302487,0.56141248377414,0.9358712184703635,1143.5115371669265,1115.9752478114633,1207.0258738219227
2020-08-26,Orange County,6059,0.7556592135685395,0.5612180935675727,0.9348001977055188,1153.0285163404358,1123.5443572007835,1222.17252025075
2020-08-27,Orange County,6059,0.7552936909068302,0.5610237033610055,0.9337291769406741,1162.5454955139448,1131.1134665901034,1237.3191666795776
2020-08-28,Orange County,6059,0.754928168245121,0.5608293131544382,0.9326581561758295,1172.0624746874541,1138.6825759794235,1252.465813108405
2020-08-29,Orange County,6059,0.7545129178865162,0.5606497124200052,0.9319036029852853,1180.9309824633835,1145.7838105279843,1266.869382112081
2020-08-30,Orange County,6059,0.7540976675279114,0.5604701116855721,0.9311490497947412,1189.799490239313,1152.8850450765449,1281.2729511157568
2020-08-31,Orange County,6059,0.7536824171693066,0.5602905109511391,0.930394496604197,1198.6679980152423,1159.9862796251057,1295.6765201194328
2020-09-01,Orange County,6059,0.7532560932064821,0.5601244390795767,0.9297256457232177,1207.0917590836664,1166.7286163675517,1309.0525208160545
2020-09-02,Orange County,6059,0.7528297692436577,0.5599583672080142,0.9290567948422384,1215.5155201520902,1173.4709531099977,1322.4285215126763
2020-09-03,Orange County,6059,0.7524034452808332,0.5597922953364517,0.928387943961259,1223.9392812205142,1180.2132898524437,1335.804522209298
2020-09-04,Orange County,6059,0.7520422133558872,0.5596403412757229,0.9274899181460946,1231.8931588312096,1186.6774005006823,1348.9822305694108
2020-09-05,Orange County,6059,0.751680981430941,0.5594883872149943,0.9265918923309303,1239.8470364419052,1193.1415111489207,1362.1599389295234
2020-09-06,Orange County,6059,0.7513197495059949,0.5593364331542655,0.9256938665157659,1247.8009140526005,1199.6056217971593,1375.3376472896362
2020-09-07,Orange County,6059,0.750961230333995,0.5591975804981036,0.9247468231411096,1255.3978917895786,1205.762155721399,1388.1430674245794
2020-09-08,Orange County,6059,0.7506027111619951,0.5590587278419418,0.9237997797664533,1262.9948695265568,1211.9186896456388,1400.9484875595228
2020-09-09,Orange County,6059,0.7502441919899951,0.5589198751857799,0.922852736391797,1270.5918472635349,1218.0752235698785,1413.753907694466
2020-09-10,Orange County,6059,0.749836351643801,0.5587930983014863,0.9222423753515049,1277.802974127834,1223.829071786445,1425.1115429962001
2020-09-11,Orange County,6059,0.7494285112976068,0.5586663214171927,0.9216320143112127,1285.014100992133,1229.5829200030114,1436.469178297934
2020-09-12,Orange County,6059,0.7490206709514127,0.5585395445328991,0.9210216532709206,1292.2252278564322,1235.3367682195778,1447.826813599668
2020-09-13,Orange County,6059,0.7487112840638114,0.5584238511585711,0.9204464972810609,1299.1019477015998,1240.830814956008,1459.0109139441183
2020-09-14,Orange County,6059,0.7484018971762101,0.558308157784243,0.9198713412912011,1305.9786675467674,1246.3248616924382,1470.1950142885687
2020-09-15,Orange County,6059,0.7480925102886088,0.558192464409915,0.9192961853013414,1312.855387391935,1251.8189084288683,1481.379114633019
2020-09-16,Orange County,6059,0.7476416954223062,0.558060032815654,0.9186946151603788,1319.446608221592,1257.1339978797805,1492.3262002993656
2020-09-17,Orange County,6059,0.7471908805560037,0.5579276012213928,0.9180930450194162,1326.0378290512488,1262.4490873306925,1503.2732859657121
2020-09-18,Orange County,6059,0.7467400656897011,0.5577951696271318,0.9174914748784536,1332.6290498809058,1267.7641767816046,1514.2203716320587
2020-09-19,Orange County,6059,0.7465039275152419,0.5576293118446433,0.9170072846283999,1338.7933659739126,1272.7512992492514,1524.5708652100896
2020-09-20,Orange County,6059,0.7462677893407826,0.5574634540621548,0.9165230943783461,1344.9576820669192,1277.7384217168983,1534.9213587881202
2020-09-21,Orange County,6059,0.7460316511663234,0.5572975962796662,0.9160389041282924,1351.121998159926,1282.725544184545,1545.271852366151
2020-09-22,Orange County,6059,0.7456958060385209,0.5571446186936375,0.9153849923267483,1357.1632399039763,1287.28332876099,1554.8478070848055
2020-09-23,Orange County,6059,0.7453599609107185,0.5569916411076087,0.9147310805252042,1363.2044816480263,1291.8411133374348,1564.4237618034601
2020-09-24,Orange County,6059,0.745024115782916,0.55683866352158,0.9140771687236602,1369.2457233920766,1296.3988979138796,1573.9997165221146
2020-09-25,Orange County,6059,0.7447774881664584,0.5566975727543698,0.9134723872520265,1375.082972089251,1300.9206747495855,1583.7179960238975
2020-09-26,Orange County,6059,0.7445308605500006,0.5565564819871596,0.9128676057803927,1380.920220786425,1305.442451585291,1593.4362755256802
2020-09-27,Orange County,6059,0.744284232933543,0.5564153912199494,0.912262824308759,1386.7574694835994,1309.964228420997,1603.1545550274632
2020-09-28,Orange County,6059,0.7440748793859192,0.556286770452305,0.9117001430003074,1392.3189351610874,1314.1524486331818,1611.627612047664
2020-09-29,Orange County,6059,0.7438655258382953,0.5561581496846607,0.9111374616918558,1397.8804008385753,1318.3406688453667,1620.1006690678646
2020-09-30,Orange County,6059,0.7436561722906716,0.5560295289170163,0.9105747803834042,1403.4418665160633,1322.5288890575516,1628.5737260880653
2020-10-01,Orange County,6059,0.7434395855507778,0.5559115552694215,0.9099496690776171,1408.7760102708776,1326.3191806906593,1636.641893366171
2020-10-02,Orange County,6059,0.743222998810884,0.5557935816218267,0.9093245577718299,1414.110154025692,1330.1094723237672,1644.7100606442764
2020-10-03,Orange County,6059,0.7430064120709903,0.5556756079742319,0.9086994464660427,1419.4442977805063,1333.899763956875,1652.778227922382
2020-10-04,Orange County,6059,0.7427608137686841,0.5555668116340846,0.9079880248487462,1424.5125079030129,1337.7448744370479,1660.474605123374
2020-10-05,Orange County,6059,0.742515215466378,0.5554580152939375,0.9072766032314498,1429.5807180255192,1341.5899849172206,1668.170982324366
2020-10-06,Orange County,6059,0.7422696171640718,0.5553492189537902,0.9065651816141532,1434.6489281480258,1345.4350953973935,1675.8673595253579
2020-10-07,Orange County,6059,0.7420785685890274,0.5552488892993331,0.9056775133888054,1439.456830049263,1348.7760050064771,1684.0044397320144
2020-10-08,Orange County,6059,0.7418875200139831,0.5551485596448762,0.9047898451634576,1444.2647319505004,1352.1169146155607,1692.141519938671
2020-10-09,Orange County,6059,0.7416964714389387,0.5550482299904191,0.9039021769381098,1449.0726338517377,1355.4578242246444,1700.2786001453276
2020-10-10,Orange County,6059,0.7415298303354406,0.5549557110181812,0.9032933275616667,1453.7746779739691,1358.612765027578,1707.8539868762903
2020-10-11,Orange County,6059,0.7413631892319424,0.5548631920459434,0.9026844781852235,1458.4767220962005,1361.7677058305114,1715.4293736072527
2020-10-12,Orange County,6059,0.7411965481284444,0.5547706730737054,0.9020756288087803,1463.178766218432,1364.922646633445,1723.0047603382154
2020-10-13,Orange County,6059,0.740950732087151,0.5546592157349238,0.9017871729297888,1467.7616566947086,1367.8513517777997,1729.74728494481
2020-10-14,Orange County,6059,0.7407049160458578,0.5545477583961422,0.9014987170507974,1472.3445471709854,1370.7800569221545,1736.4898095514047
2020-10-15,Orange County,6059,0.7404591000045644,0.5544363010573606,0.9012102611718059,1476.927437647262,1373.708762066509,1743.2323341579993
2020-10-16,Orange County,6059,0.7401931362789184,0.5542942259296356,0.9006315394991141,1481.183931757597,1376.647076786754,1749.708108749385
2020-10-17,Orange County,6059,0.7399271725532724,0.5541521508019107,0.9000528178264224,1485.4404258679324,1379.585391506999,1756.183883340771
2020-10-18,Orange County,6059,0.7396612088276264,0.5540100756741857,0.8994740961537306,1489.6969199782675,1382.523706227244,1762.6596579321567
2020-10-19,Orange County,6059,0.7394881911016439,0.5538790305329827,0.8990146196401254,1493.7011412791055,1385.2901612850549,1768.7826628090208
2020-10-20,Orange County,6059,0.7393151733756612,0.5537479853917798,0.8985551431265202,1497.7053625799438,1388.056616342866,1774.9056676858852
2020-10-21,Orange County,6059,0.7391421556496787,0.5536169402505768,0.898095666612915,1501.7095838807818,1390.8230714006768,1781.0286725627493
2020-10-22,Orange County,6059,0.7389460536234945,0.5534960741790231,0.8974329011665241,1505.684660373098,1393.5389793937984,1787.0573662723343
2020-10-23,Orange County,6059,0.7387499515973103,0.5533752081074693,0.8967701357201333,1509.6597368654143,1396.2548873869198,1793.0860599819193
2020-10-24,Orange County,6059,0.7385538495711261,0.5532543420359156,0.8961073702737424,1513.6348133577305,1398.9707953800414,1799.1147536915043
2020-10-25,Orange County,6059,0.738409565815068,0.5532107053894791,0.8958137148150417,1517.5133148484067,1401.412750721899,1805.623014901956
2020-10-26,Orange County,6059,0.7382652820590099,0.5531670687430428,0.895520059356341,1521.391816339083,1403.8547060637566,1812.1312761124075
2020-10-27,Orange County,6059,0.7381209983029517,0.5531234320966063,0.8952264038976403,1525.2703178297593,1406.2966614056143,1818.639537322859
2020-10-28,Orange County,6059,0.7380014702199206,0.5530968612409166,0.8948358366165906,1528.7948728346867,1408.2698826348694,1824.8880787979117
